_id,type,player[0],player[1],template,toys[0],toys[1],intensity[0],intensity[1],intensity[2],duration
66d79ef3e8c9a2a7abe3f866,truth,firstName1,firstName2,Quelle est la plus grande différence d'âge que t'as eue avec un partenaire ?,,,,,,
66d79ef3e8c9a2a7abe3f892,truth,firstName1,firstName2,"Si je te donnais un bon pour coucher avec une célébrité, ce serait qui et pourquoi ?",,,,,,
66c02acef4e4ec87ac8b12db,dare,firstName1,firstName2,Mets un bandeau sur les yeux de ton/ta partenaire et embrasse-le/la partout sauf sur la bouche.,blindfold,,medium,,,
66d77af6e8c9a2a7abe3f822,dare,firstName1,firstName2,Caresse le bras de {AutrePlayer} de haut en bas pendant 2 minutes en utilisant uniquement le dos de ta main.,,,low,,,
66d79ef3e8c9a2a7abe3f877,truth,firstName1,firstName2,Quel sex toy t'aimerais que j'essaie sur toi ?,,,,,,
66d79ef3e8c9a2a7abe3f865,truth,firstName1,firstName2,T'as déjà eu des relations sexuelles avec plus d'une personne dans la même journée ?,,,,,,
66d79280e8c9a2a7abe3f848,dare,firstName1,firstName2,"Réalise un nude de {AutrePlayer} avec le Polaroïd, sois créatif.",polaroid,,"medium, high",,,
66bec18cf4e4ec87ac8b1239,truth,firstName1,firstName2,Quel est le plus grand nombre de fois où tu as eu un orgasme en une journée ?,,,,,,
66bec4e4f4e4ec87ac8b1257,truth,firstName1,firstName2,"Si tu pouvais changer une chose dans ta vie, qu'est-ce que ce serait?",,,,,,
66bec18cf4e4ec87ac8b123e,truth,firstName1,firstName2,Quand était la dernière fois que tu t'es fait plaisir ?,,,,,,
66d77af6e8c9a2a7abe3f81f,dare,firstName1,firstName2,Fais un massage léger des pieds de {AutrePlayer} pendant 2 minutes.,massage_oil,,low,,,
66d79ef3e8c9a2a7abe3f88c,truth,firstName1,firstName2,Tu aimes être mordillé ou légèrement pincé ? Où ?,,,,,,
66d79ef3e8c9a2a7abe3f89b,truth,firstName1,firstName2,Quel genre de préliminaires aimerais-tu essayer la prochaine fois qu'on est au lit ?,,,,,,
66d79ef3e8c9a2a7abe3f8ae,truth,firstName1,firstName2,Quelle est la chose la plus audacieuse que tu aimerais essayer avec moi ?,,,,,,
66bec18cf4e4ec87ac8b1233,truth,firstName1,firstName2,Quel est ton type de préliminaire préféré ?,,,,,,
66d78093e8c9a2a7abe3f82f,dare,firstName1,firstName2,Masturbe-toi devant {AutrePlayer} tout en le/la regardant dans les yeux sans détourner le regard.,all,,medium,,,
66d79ef3e8c9a2a7abe3f886,truth,firstName1,firstName2,Tu regardes du porno ? Ta catégorie préférée ?,,,,,,
66bec17bf4e4ec87ac8b1211,truth,firstName1,firstName2,Quel est ton plus grand secret que tu n'as jamais révélé à personne ?,,,,,,
